confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,ligand_id,gene_id,yaml
0.743,0.850,0.553,0.553,0.000,0.791,0.553,1.053,4.987,0.869,0.883,0.869,0.136,0.553,0.883,45,CCR9,CCR9_45
0.801,0.877,0.755,0.755,0.000,0.813,0.667,0.827,3.414,0.882,0.931,0.882,0.227,0.755,0.931,48,CCR9,CCR9_48
0.715,0.836,0.484,0.484,0.000,0.772,0.499,1.168,5.803,0.862,0.894,0.862,0.140,0.484,0.894,53,CCR9,CCR9_53
0.741,0.848,0.582,0.582,0.000,0.781,0.544,1.047,4.498,0.871,0.762,0.871,0.158,0.582,0.762,55,CCR9,CCR9_55
0.752,0.856,0.563,0.563,0.000,0.799,0.594,1.019,4.337,0.874,0.886,0.874,0.131,0.563,0.886,57,CCR9,CCR9_57
0.733,0.846,0.531,0.531,0.000,0.784,0.548,1.189,6.248,0.871,0.795,0.871,0.123,0.531,0.795,58,CCR9,CCR9_58
0.714,0.831,0.462,0.462,0.000,0.777,0.491,1.247,6.042,0.863,0.808,0.863,0.121,0.462,0.808,6,CCR9,CCR9_6
0.790,0.869,0.763,0.763,0.000,0.797,0.655,0.899,3.590,0.879,0.815,0.879,0.280,0.763,0.815,62,CCR9,CCR9_62
0.758,0.851,0.682,0.682,0.000,0.777,0.602,0.956,3.538,0.872,0.762,0.872,0.182,0.682,0.762,68,CCR9,CCR9_68
0.759,0.849,0.640,0.640,0.000,0.789,0.593,0.980,3.565,0.867,0.777,0.867,0.139,0.640,0.777,7,CCR9,CCR9_7
0.782,0.821,0.760,0.760,0.000,0.787,0.684,1.020,3.830,0.827,0.860,0.827,0.341,0.760,0.860,72,CCR9,CCR9_72
0.700,0.821,0.430,0.430,0.000,0.767,0.453,1.426,7.159,0.858,0.728,0.858,0.115,0.430,0.728,73,CCR9,CCR9_73
0.672,0.835,0.294,0.294,0.000,0.767,0.446,1.628,12.259,0.872,0.868,0.872,0.100,0.294,0.868,75,CCR9,CCR9_75
0.714,0.823,0.495,0.495,0.000,0.769,0.488,1.267,5.867,0.851,0.798,0.851,0.138,0.495,0.798,76,CCR9,CCR9_76
0.742,0.858,0.540,0.540,0.000,0.792,0.553,1.110,5.823,0.878,0.889,0.878,0.146,0.540,0.889,79,CCR9,CCR9_79
0.808,0.867,0.851,0.851,0.000,0.797,0.720,0.825,2.886,0.869,0.792,0.869,0.333,0.851,0.792,84,CCR9,CCR9_84
0.880,0.908,0.964,0.964,0.000,0.859,0.851,0.529,0.777,0.906,0.922,0.906,0.408,0.964,0.922,89,CCR9,CCR9_89
0.746,0.853,0.537,0.537,0.000,0.799,0.521,1.101,5.524,0.877,0.826,0.877,0.123,0.537,0.826,96,CCR9,CCR9_96
0.744,0.851,0.582,0.582,0.000,0.785,0.556,1.106,5.211,0.870,0.842,0.870,0.147,0.582,0.842,97,CCR9,CCR9_97
0.863,0.925,0.770,0.770,0.000,0.886,0.697,0.647,1.904,0.949,0.809,0.949,0.259,0.770,0.809,105,ESR1,ESR1_105
0.897,0.940,0.879,0.879,0.000,0.902,0.793,0.525,1.210,0.951,0.727,0.951,0.399,0.879,0.727,119,ESR1,ESR1_119
0.929,0.941,0.978,0.978,0.000,0.917,0.902,0.422,0.493,0.938,0.866,0.938,0.455,0.978,0.866,120,ESR1,ESR1_120
0.924,0.930,0.970,0.970,0.000,0.912,0.907,0.484,0.656,0.927,0.917,0.927,0.461,0.970,0.917,121,ESR1,ESR1_121
0.940,0.954,0.979,0.979,0.000,0.931,0.917,0.376,0.495,0.952,0.854,0.952,0.450,0.979,0.854,122,ESR1,ESR1_122
0.802,0.891,0.612,0.612,0.000,0.849,0.574,0.917,3.046,0.933,0.689,0.933,0.142,0.612,0.689,141,ESR1,ESR1_141
0.912,0.944,0.906,0.906,0.000,0.913,0.850,0.476,0.951,0.949,0.815,0.949,0.448,0.906,0.815,148,ESR1,ESR1_148
0.921,0.938,0.953,0.953,0.000,0.913,0.874,0.463,0.774,0.937,0.780,0.937,0.445,0.953,0.780,152,ESR1,ESR1_152
0.914,0.945,0.931,0.931,0.000,0.910,0.852,0.448,0.822,0.947,0.886,0.947,0.640,0.931,0.886,154,ESR1,ESR1_154
0.861,0.919,0.785,0.785,0.000,0.880,0.706,0.682,1.933,0.939,0.751,0.939,0.403,0.785,0.751,161,ESR1,ESR1_161
0.841,0.904,0.732,0.732,0.000,0.868,0.671,0.757,2.196,0.932,0.693,0.932,0.375,0.732,0.693,168,ESR1,ESR1_168
0.847,0.914,0.737,0.737,0.000,0.875,0.691,0.759,2.136,0.943,0.657,0.943,0.382,0.737,0.657,175,ESR1,ESR1_175
0.850,0.914,0.703,0.703,0.000,0.887,0.683,0.705,2.521,0.932,0.874,0.932,0.189,0.703,0.874,18,ESR1,ESR1_18
0.878,0.930,0.778,0.778,0.000,0.903,0.748,0.578,1.813,0.942,0.883,0.942,0.252,0.778,0.883,180,ESR1,ESR1_180
0.848,0.914,0.725,0.725,0.000,0.879,0.682,0.704,2.197,0.932,0.764,0.932,0.246,0.725,0.764,190,ESR1,ESR1_190
0.918,0.952,0.938,0.938,0.000,0.913,0.838,0.433,0.836,0.954,0.811,0.954,0.471,0.938,0.811,199,ESR1,ESR1_199
0.884,0.933,0.840,0.840,0.000,0.895,0.754,0.582,1.582,0.946,0.844,0.946,0.396,0.840,0.844,20,ESR1,ESR1_20
0.925,0.942,0.944,0.944,0.000,0.921,0.890,0.440,0.687,0.942,0.856,0.942,0.440,0.944,0.856,201,ESR1,ESR1_201
0.879,0.932,0.838,0.838,0.000,0.889,0.724,0.584,1.422,0.945,0.768,0.945,0.328,0.838,0.768,210,ESR1,ESR1_210
0.903,0.930,0.884,0.884,0.000,0.908,0.810,0.509,1.114,0.934,0.886,0.934,0.331,0.884,0.886,212,ESR1,ESR1_212
0.870,0.921,0.779,0.779,0.000,0.893,0.730,0.619,1.942,0.932,0.885,0.932,0.218,0.779,0.885,213,ESR1,ESR1_213
0.878,0.929,0.817,0.817,0.000,0.893,0.741,0.592,1.548,0.944,0.771,0.944,0.384,0.817,0.771,215,ESR1,ESR1_215
0.872,0.925,0.813,0.813,0.000,0.887,0.731,0.647,1.714,0.944,0.697,0.944,0.378,0.813,0.697,23,ESR1,ESR1_23
0.900,0.922,0.881,0.881,0.000,0.905,0.827,0.545,1.459,0.924,0.947,0.924,0.239,0.881,0.947,235,ESR1,ESR1_235
0.866,0.919,0.786,0.786,0.000,0.885,0.718,0.694,1.749,0.938,0.718,0.938,0.408,0.786,0.718,241,ESR1,ESR1_241
0.906,0.929,0.895,0.895,0.000,0.909,0.831,0.521,1.256,0.931,0.935,0.931,0.283,0.895,0.935,242,ESR1,ESR1_242
0.938,0.945,0.978,0.978,0.000,0.928,0.926,0.410,0.493,0.942,0.905,0.942,0.573,0.978,0.905,243,ESR1,ESR1_243
0.937,0.954,0.969,0.969,0.000,0.928,0.908,0.386,0.512,0.952,0.864,0.952,0.445,0.969,0.864,249,ESR1,ESR1_249
0.848,0.914,0.761,0.761,0.000,0.870,0.680,0.709,2.063,0.940,0.728,0.940,0.359,0.761,0.728,259,ESR1,ESR1_259
0.870,0.925,0.803,0.803,0.000,0.887,0.729,0.664,1.828,0.944,0.713,0.944,0.369,0.803,0.713,261,ESR1,ESR1_261
0.908,0.938,0.887,0.887,0.000,0.913,0.825,0.505,1.133,0.943,0.819,0.943,0.411,0.887,0.819,263,ESR1,ESR1_263
0.892,0.935,0.810,0.810,0.000,0.912,0.766,0.519,1.540,0.942,0.925,0.942,0.215,0.810,0.925,267,ESR1,ESR1_267
0.902,0.928,0.902,0.902,0.000,0.902,0.808,0.520,1.062,0.931,0.864,0.931,0.457,0.902,0.864,270,ESR1,ESR1_270
0.895,0.939,0.863,0.863,0.000,0.903,0.792,0.528,1.218,0.949,0.728,0.949,0.425,0.863,0.728,276,ESR1,ESR1_276
0.892,0.936,0.861,0.861,0.000,0.900,0.785,0.563,1.368,0.947,0.753,0.947,0.362,0.861,0.753,280,ESR1,ESR1_280
0.899,0.940,0.871,0.871,0.000,0.906,0.806,0.500,1.135,0.952,0.830,0.952,0.428,0.871,0.830,288,ESR1,ESR1_288
0.807,0.900,0.575,0.575,0.000,0.865,0.609,0.856,3.128,0.935,0.810,0.935,0.149,0.575,0.810,291,ESR1,ESR1_291
0.852,0.921,0.753,0.753,0.000,0.876,0.690,0.723,2.115,0.948,0.679,0.948,0.402,0.753,0.679,315,ESR1,ESR1_315
0.875,0.934,0.717,0.717,0.000,0.915,0.783,0.567,3.464,0.940,0.945,0.940,0.135,0.717,0.945,324,ESR1,ESR1_324
0.890,0.933,0.862,0.862,0.000,0.897,0.770,0.577,1.326,0.942,0.790,0.942,0.302,0.862,0.790,339,ESR1,ESR1_339
0.935,0.947,0.967,0.967,0.000,0.927,0.909,0.409,0.569,0.945,0.890,0.945,0.541,0.967,0.890,342,ESR1,ESR1_342
0.900,0.940,0.891,0.891,0.000,0.902,0.798,0.514,1.182,0.948,0.815,0.948,0.405,0.891,0.815,343,ESR1,ESR1_343
0.868,0.925,0.772,0.772,0.000,0.892,0.707,0.642,1.865,0.944,0.748,0.944,0.300,0.772,0.748,359,ESR1,ESR1_359
0.846,0.912,0.740,0.740,0.000,0.873,0.675,0.718,2.045,0.940,0.707,0.940,0.370,0.740,0.707,36,ESR1,ESR1_36
0.898,0.936,0.832,0.832,0.000,0.914,0.792,0.492,1.482,0.940,0.942,0.940,0.234,0.832,0.942,363,ESR1,ESR1_363
0.864,0.920,0.747,0.747,0.000,0.894,0.706,0.628,1.983,0.935,0.864,0.935,0.206,0.747,0.864,366,ESR1,ESR1_366
0.915,0.939,0.914,0.914,0.000,0.915,0.854,0.482,0.930,0.942,0.819,0.942,0.401,0.914,0.819,370,ESR1,ESR1_370
0.819,0.902,0.662,0.662,0.000,0.858,0.617,0.853,2.983,0.934,0.812,0.934,0.189,0.662,0.812,379,ESR1,ESR1_379
0.909,0.932,0.908,0.908,0.000,0.909,0.832,0.493,0.970,0.935,0.879,0.935,0.388,0.908,0.879,382,ESR1,ESR1_382
0.934,0.950,0.965,0.965,0.000,0.926,0.912,0.401,0.561,0.949,0.881,0.949,0.452,0.965,0.881,384,ESR1,ESR1_384
0.916,0.945,0.906,0.906,0.000,0.918,0.821,0.448,0.950,0.949,0.897,0.949,0.485,0.906,0.897,389,ESR1,ESR1_389
0.930,0.943,0.954,0.954,0.000,0.923,0.907,0.428,0.629,0.943,0.887,0.943,0.462,0.954,0.887,396,ESR1,ESR1_396
0.932,0.936,0.969,0.969,0.000,0.922,0.914,0.449,0.557,0.934,0.906,0.934,0.453,0.969,0.906,408,ESR1,ESR1_408
0.914,0.942,0.901,0.901,0.000,0.917,0.836,0.463,0.992,0.947,0.873,0.947,0.350,0.901,0.873,414,ESR1,ESR1_414
0.889,0.929,0.821,0.821,0.000,0.906,0.764,0.560,1.587,0.939,0.887,0.939,0.284,0.821,0.887,42,ESR1,ESR1_42
0.901,0.942,0.887,0.887,0.000,0.905,0.790,0.506,1.144,0.950,0.825,0.950,0.449,0.887,0.825,422,ESR1,ESR1_422
0.872,0.930,0.803,0.803,0.000,0.889,0.720,0.620,1.727,0.948,0.795,0.948,0.280,0.803,0.795,428,ESR1,ESR1_428
0.875,0.932,0.788,0.788,0.000,0.896,0.726,0.620,1.730,0.950,0.743,0.950,0.319,0.788,0.743,45,ESR1,ESR1_45
0.906,0.932,0.916,0.916,0.000,0.903,0.836,0.519,1.110,0.935,0.833,0.935,0.443,0.916,0.833,61,ESR1,ESR1_61
0.840,0.904,0.719,0.719,0.000,0.870,0.660,0.802,2.294,0.934,0.682,0.934,0.341,0.719,0.682,64,ESR1,ESR1_64
0.929,0.940,0.957,0.957,0.000,0.922,0.921,0.432,0.629,0.939,0.920,0.939,0.535,0.957,0.920,65,ESR1,ESR1_65
0.899,0.936,0.857,0.857,0.000,0.910,0.798,0.511,1.285,0.943,0.869,0.943,0.335,0.857,0.869,69,ESR1,ESR1_69
0.899,0.934,0.862,0.862,0.000,0.908,0.802,0.521,1.296,0.941,0.910,0.941,0.384,0.862,0.910,71,ESR1,ESR1_71
0.806,0.896,0.579,0.579,0.000,0.862,0.562,0.945,3.468,0.936,0.775,0.936,0.172,0.579,0.775,84,ESR1,ESR1_84
0.859,0.918,0.779,0.779,0.000,0.878,0.700,0.697,1.987,0.942,0.696,0.942,0.347,0.779,0.696,87,ESR1,ESR1_87
0.888,0.930,0.832,0.832,0.000,0.902,0.692,0.521,1.713,0.939,0.807,0.939,0.361,0.832,0.807,10,FTO,FTO_10
0.878,0.929,0.790,0.790,0.000,0.900,0.668,0.586,2.021,0.941,0.773,0.941,0.343,0.790,0.773,110,FTO,FTO_110
0.907,0.928,0.851,0.851,0.000,0.921,0.824,0.535,2.249,0.933,0.903,0.933,0.503,0.851,0.903,120,FTO,FTO_120
0.910,0.939,0.902,0.902,0.000,0.912,0.765,0.460,1.368,0.942,0.825,0.942,0.336,0.902,0.825,128,FTO,FTO_128
0.891,0.937,0.794,0.794,0.000,0.915,0.744,0.548,2.899,0.944,0.900,0.944,0.308,0.794,0.900,129,FTO,FTO_129
0.847,0.920,0.686,0.686,0.000,0.888,0.568,0.690,3.207,0.940,0.758,0.940,0.202,0.686,0.758,132,FTO,FTO_132
0.887,0.921,0.832,0.832,0.000,0.901,0.703,0.557,2.027,0.928,0.813,0.928,0.271,0.832,0.813,135,FTO,FTO_135
0.932,0.945,0.954,0.954,0.000,0.926,0.876,0.387,0.745,0.945,0.920,0.945,0.562,0.954,0.920,137,FTO,FTO_137
0.774,0.925,0.243,0.243,0.000,0.907,0.554,1.034,13.366,0.946,0.946,0.946,0.096,0.243,0.946,139,FTO,FTO_139
0.886,0.926,0.818,0.818,0.000,0.903,0.703,0.528,1.732,0.936,0.747,0.936,0.349,0.818,0.747,146,FTO,FTO_146
0.913,0.945,0.882,0.882,0.000,0.921,0.819,0.449,1.682,0.949,0.873,0.949,0.438,0.882,0.873,153,FTO,FTO_153
0.920,0.944,0.933,0.933,0.000,0.917,0.809,0.437,0.962,0.945,0.843,0.945,0.391,0.933,0.843,154,FTO,FTO_154
0.815,0.904,0.568,0.568,0.000,0.877,0.510,0.943,5.207,0.935,0.728,0.935,0.182,0.568,0.728,156,FTO,FTO_156
0.894,0.934,0.840,0.840,0.000,0.908,0.734,0.514,1.792,0.941,0.789,0.941,0.296,0.840,0.789,161,FTO,FTO_161
0.902,0.933,0.867,0.867,0.000,0.911,0.756,0.491,1.800,0.936,0.874,0.936,0.332,0.867,0.874,173,FTO,FTO_173
0.858,0.934,0.658,0.658,0.000,0.908,0.624,0.639,5.282,0.947,0.874,0.947,0.172,0.658,0.874,174,FTO,FTO_174
0.909,0.939,0.890,0.890,0.000,0.914,0.778,0.474,1.500,0.943,0.864,0.943,0.366,0.890,0.864,175,FTO,FTO_175
0.904,0.936,0.873,0.873,0.000,0.912,0.774,0.515,1.718,0.941,0.815,0.941,0.359,0.873,0.815,177,FTO,FTO_177
0.908,0.938,0.877,0.877,0.000,0.916,0.780,0.473,1.756,0.942,0.847,0.942,0.336,0.877,0.847,178,FTO,FTO_178
0.866,0.934,0.708,0.708,0.000,0.905,0.650,0.588,3.165,0.947,0.862,0.947,0.191,0.708,0.862,18,FTO,FTO_18
